file,0,1,2,3,4,5,6,7
logo_316_animation_0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
logo_316_animation_4,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
logo_316_animation_5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
logo_316_animation_8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_12,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
logo_316_animation_13,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
logo_316_animation_14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
logo_316_animation_15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_18,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
logo_316_animation_19,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_22,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logo_316_animation_24,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
logo_378_animation_0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
logo_378_animation_1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
logo_378_animation_2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
logo_378_animation_3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
logo_378_animation_4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
logo_378_animation_5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
